mode,step_index,day,timestamp,product,submitted_orders,fills,pending_orders_next_step,position,cash,mid_price,microprice,spread,imbalance,source_mode,access_added_levels,signal_proxy,toxicity_bucket,agreement_state,product_pnl
access,0,-1,0,ASH_COATED_OSMIUM,4,0,4,0,0.0,9991.5,9994.7381,17.0,0.380952,access,2,3.2381,high,agree,0.0
access,0,-1,0,INTARIAN_PEPPER_ROOT,2,0,2,0,0.0,11001.5,10997.9706,15.0,-0.470588,access,1,3.5294,high,agree,0.0
access,1,-1,100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9994.5122,15.0,0.268293,access,1,2.0122,high,agree,0.0
access,1,-1,100,INTARIAN_PEPPER_ROOT,3,1,2,16,-176096.0,11000.5,11003.25,11.0,0.5,access,2,2.75,high,agree,-88.0
access,2,-1,200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9994.0,15.0,0.2,access,1,1.5,high,agree,0.0
access,2,-1,200,INTARIAN_PEPPER_ROOT,1,0,1,16,-176096.0,11006.0,11006.0,0.0,0.0,public,0,0.0,low,neutral,0.0
access,3,-1,300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9992.5,21.0,0.0,public,0,0.0,low,neutral,0.0
access,3,-1,300,INTARIAN_PEPPER_ROOT,2,0,2,16,-176096.0,11001.0,10999.6,14.0,-0.2,access,1,1.4,high,agree,-80.0
access,4,-1,400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9997.5,9996.1765,5.0,-0.529412,access,1,1.3235,high,agree,0.0
access,4,-1,400,INTARIAN_PEPPER_ROOT,3,1,2,36,-396216.0,11000.0,11000.0,12.0,0.0,public,0,0.0,low,neutral,-216.0
access,5,-1,500,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.5,9990.1562,15.0,-0.3125,access,1,2.3438,high,agree,0.0
access,5,-1,500,INTARIAN_PEPPER_ROOT,1,0,1,36,-396216.0,11009.0,11009.0,0.0,0.0,public,0,0.0,low,neutral,108.0
access,6,-1,600,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9997.125,15.0,0.35,access,2,2.625,high,agree,0.0
access,6,-1,600,INTARIAN_PEPPER_ROOT,3,1,2,47,-517293.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-246.0
access,7,-1,700,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,7,-1,700,INTARIAN_PEPPER_ROOT,2,0,2,47,-517293.0,11000.5,10998.5357,11.0,-0.357143,access,1,1.9643,high,agree,-269.5
access,8,-1,800,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9990.8462,19.0,-0.384615,public,0,3.6538,high,agree,0.0
access,8,-1,800,INTARIAN_PEPPER_ROOT,2,0,2,47,-517293.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-246.0
access,9,-1,900,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,9,-1,900,INTARIAN_PEPPER_ROOT,3,1,2,55,-605349.0,10999.5,11003.3636,15.0,0.515152,public,0,3.8636,high,agree,-376.5
access,10,-1,1000,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,public,0,0.0,low,neutral,0.0
access,10,-1,1000,INTARIAN_PEPPER_ROOT,2,0,2,55,-605349.0,10999.5,11002.1613,15.0,0.354839,public,0,2.6613,high,agree,-376.5
access,11,-1,1100,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.0,9993.3571,18.0,-0.071429,access,1,0.6429,medium,agree,0.0
access,11,-1,1100,INTARIAN_PEPPER_ROOT,2,0,2,55,-605349.0,11001.0,11001.0,12.0,0.0,public,0,0.0,low,neutral,-294.0
access,12,-1,1200,ASH_COATED_OSMIUM,4,0,4,0,0.0,9992.0,9995.6,18.0,0.4,access,1,3.6,high,agree,0.0
access,12,-1,1200,INTARIAN_PEPPER_ROOT,2,0,2,55,-605349.0,11001.0,11001.0,18.0,0.0,public,0,0.0,low,neutral,-294.0
access,13,-1,1300,ASH_COATED_OSMIUM,4,0,4,0,0.0,9994.5,9991.8611,19.0,-0.277778,public,0,2.6389,high,agree,0.0
access,13,-1,1300,INTARIAN_PEPPER_ROOT,3,1,2,67,-737433.0,11001.5,11002.875,11.0,0.25,access,1,1.375,high,agree,-332.5
access,14,-1,1400,ASH_COATED_OSMIUM,4,0,4,0,0.0,9993.0,9993.0,16.0,0.0,access,1,0.0,low,neutral,0.0
access,14,-1,1400,INTARIAN_PEPPER_ROOT,2,0,2,67,-737433.0,11000.5,10998.5484,11.0,-0.354839,access,1,1.9516,high,agree,-399.5
access,15,-1,1500,ASH_COATED_OSMIUM,5,1,4,4,-39964.0,9988.5,9989.9474,5.0,0.578947,access,1,1.4474,high,agree,-10.0
access,15,-1,1500,INTARIAN_PEPPER_ROOT,2,1,1,80,-880511.0,11000.5,10999.3214,11.0,-0.214286,access,1,1.1786,high,agree,-471.0
access,16,-1,1600,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9994.5,9992.1892,19.0,-0.243243,public,0,2.3108,high,agree,14.0
access,16,-1,1600,INTARIAN_PEPPER_ROOT,1,0,1,80,-880511.0,11002.0,11002.0,12.0,0.0,public,0,0.0,low,neutral,-351.0
access,17,-1,1700,ASH_COATED_OSMIUM,4,0,4,4,-39964.0,9991.5,9991.5,17.0,0.0,access,1,0.0,low,neutral,2.0
access,17,-1,1700,INTARIAN_PEPPER_ROOT,2,0,2,80,-880511.0,11001.5,11003.0,15.0,0.2,access,2,1.5,high,agree,-391.0
access,18,-1,1800,ASH_COATED_OSMIUM,5,1,4,8,-79944.0,9990.5,9992.8824,9.0,0.529412,public,0,2.3824,high,agree,-20.0
access,18,-1,1800,INTARIAN_PEPPER_ROOT,1,0,1,80,-880511.0,11002.0,11002.0,12.0,0.0,access,1,0.0,low,neutral,-351.0
access,19,-1,1900,ASH_COATED_OSMIUM,1,0,1,8,-79944.0,10001.0,10001.0,0.0,0.0,public,0,0.0,low,neutral,64.0
